Component,Quantity,Price (CAD),Link
XIAO RP2040,1,14.76,https://www.seeedstudio.com
Switches,9,1.59,https://www.aliexpress.com/item/1005006814061416.html?spm=a2g0o.cart.0.0.5ac938daiLrBW3&mp=1&pdp_npi=6%40dis%21CAD%21CAD%204.32%21CAD%201.59%21%21CAD%201.59%21%21%21%402101d6ff17736242633097397eb77b%2112000038390782464%21ct%21CA%21-1%21%211%210%21
Keycaps,9,6.67,https://www.aliexpress.com/item/1005008542056314.html?spm=a2g0o.cart.0.0.5ac938daiLrBW3&mp=1&pdp_npi=6%40dis%21CAD%21CAD%206.67%21CAD%206.67%21%21CAD%206.67%21%21%21%402101d6ff17736242633097397eb77b%2112000045635944047%21ct%21CA%21-1%21%211%210%21
Diodes,9,1.26,https://www.digikey.ca/en/products/detail/onsemi/1N4148/458603
"0.91"" 128x32 OLED Display",1,3.18,https://www.aliexpress.com/item/1005008640132638.html?spm=a2g0o.cart.0.0.5ac938daiLrBW3&mp=1&pdp_npi=6%40dis%21CAD%21CAD%203.18%21CAD%203.18%21%21CAD%203.18%21%21%21%402101d6ff17736242633097397eb77b%2112000046056501838%21ct%21CA%21-1%21%211%210%21
M3x16mm Screws,4,7.96,https://www.canadiantire.ca/en/pdp/hillman-philips-pan-head-machine-screw-m3-50-x-16-mm-0612155p.html#store=674
M3x5x4mm Heatset Inserts,4,5.39,https://www.aliexpress.com/item/1005008285787978.html?spm=a2g0o.cart.0.0.5ac938daiLrBW3&mp=1&pdp_npi=6%40dis%21CAD%21CAD%205.39%21CAD%205.39%21%21CAD%205.39%21%21%21%402101d6ff17736242633097397eb77b%2112000044480441806%21ct%21CA%21-1%21%211%210%21
PCB JLC,1,3.5,https://cart.jlcpcb.com/quote?stencilLayer=2&stencilWidth=100&stencilLength=100&stencilCounts=5&plateType=1&spm=Jlcpcb.Homepage.1010
3d Printed Case,1,0,Used own 3D Printer
,,44.31,
